"Bitrix Integration","Integración con Bitrix"
"Endpoint to get connection token","Endpoint para obtener el token de coneción"
"Use access validation by token","Usar la validación de acceso por token"
"Endpoint to send data","Endpoint para enviar datos"
"Connection Timeout in Seconds","Tiempo de espera de conexión en segundos"
"Schedule Resend data to Bitrix","Programar Reenviar Datos a Bitrix"
"When API connection fails, the data is queued to be sent again through a scheduled Cron","Cuando falla la conexión a la API, los datos se ponen en cola para ser enviados nuevamente a través de un cron programado"
"When disabled, the data only is queued to be sent when enabled again","Cuando se deshabilita, los datos solo se ponen en cola para enviarse cuando se habilita nuevamente"
"Could not save the Queue: %1.","No se puede guardar la Cola: %1"
"Something went wrong while resend Queue # %1: %2","Algo salio mal al reenviar la Queue # %1: %2"
"Something went wrong while clean Queue # %1: %2","Algo salio mal al limpiar la Queue # %1: %2"
"Queue # %1 is old but still pending.","La Queue # %1 es antigua pero aún esta pendiente."
"Could not login to Bitrix API.","No es posible acceder a la API de Bitrix"
"Could not get data from Bitrix API.","No es posible obtener datos de la API de Bitrix"
